Season,Home Team,Away Team,Home Team Goals,Away Team Goals,Score,Winner,Loser
1999/00,Bordeaux,Bastia,3,2,5,Bordeaux,Bastia
1999/00,Monaco,St Etienne,2,2,4,Draw,Draw
1999/00,Auxerre,Nancy,2,1,3,Auxerre,Nancy
1999/00,Lyon,Montpellier,1,2,3,Montpellier,Lyon
1999/00,Marseille,Sedan,3,0,3,Marseille,Sedan
1999/00,Metz,Rennes,0,0,0,Draw,Draw
1999/00,Nantes,Le Havre,1,0,1,Nantes,Le Havre
1999/00,Paris SG,Troyes,1,0,1,Paris SG,Troyes
1999/00,Strasbourg,Lens,1,0,1,Strasbourg,Lens
1999/00,Le Havre,Marseille,0,0,0,Draw,Draw
1999/00,Troyes,Lyon,1,2,3,Lyon,Troyes
1999/00,Bastia,Strasbourg,3,0,3,Bastia,Strasbourg
1999/00,Lens,Monaco,1,0,1,Lens,Monaco
1999/00,Sedan,Nancy,3,1,4,Sedan,Nancy
1999/00,St Etienne,Nantes,0,2,2,Nantes,St Etienne
1999/00,Metz,Auxerre,3,0,3,Metz,Auxerre
1999/00,Montpellier,Bordeaux,2,2,4,Draw,Draw
1999/00,Rennes,Paris SG,1,3,4,Paris SG,Rennes
1999/00,Auxerre,Sedan,3,1,4,Auxerre,Sedan
1999/00,Bordeaux,Troyes,4,0,4,Bordeaux,Troyes
1999/00,Monaco,Bastia,4,0,4,Monaco,Bastia
1999/00,Nancy,Le Havre,3,0,3,Nancy,Le Havre
1999/00,Nantes,Lens,0,1,1,Lens,Nantes
1999/00,Paris SG,Metz,2,1,3,Paris SG,Metz
1999/00,Strasbourg,Montpellier,2,0,2,Strasbourg,Montpellier
1999/00,Lyon,Rennes,2,2,4,Draw,Draw
1999/00,Marseille,St Etienne,3,3,6,Draw,Draw
1999/00,Le Havre,Sedan,2,1,3,Le Havre,Sedan
1999/00,Metz,Lyon,0,1,1,Lyon,Metz
1999/00,Montpellier,Monaco,2,3,5,Monaco,Montpellier
1999/00,Paris SG,Auxerre,1,1,2,Draw,Draw
1999/00,Rennes,Bordeaux,2,1,3,Rennes,Bordeaux
1999/00,St Etienne,Nancy,2,1,3,St Etienne,Nancy
1999/00,Troyes,Strasbourg,2,1,3,Troyes,Strasbourg
1999/00,Bastia,Nantes,2,1,3,Bastia,Nantes
1999/00,Lens,Marseille,0,0,0,Draw,Draw
1999/00,Auxerre,Le Havre,2,1,3,Auxerre,Le Havre
1999/00,Bordeaux,Metz,0,0,0,Draw,Draw
1999/00,Marseille,Bastia,1,1,2,Draw,Draw
1999/00,Nancy,Lens,2,1,3,Nancy,Lens
1999/00,Nantes,Montpellier,3,0,3,Nantes,Montpellier
1999/00,Sedan,St Etienne,3,2,5,Sedan,St Etienne
1999/00,Strasbourg,Rennes,2,1,3,Strasbourg,Rennes
1999/00,Lyon,Paris SG,1,0,1,Lyon,Paris SG
1999/00,Monaco,Troyes,3,0,3,Monaco,Troyes
1999/00,Bastia,Nancy,1,1,2,Draw,Draw
1999/00,Lens,Sedan,0,3,3,Sedan,Lens
1999/00,Lyon,Auxerre,0,0,0,Draw,Draw
1999/00,Metz,Strasbourg,0,0,0,Draw,Draw
1999/00,Montpellier,Marseille,3,1,4,Montpellier,Marseille
1999/00,St Etienne,Le Havre,3,3,6,Draw,Draw
1999/00,Troyes,Nantes,1,0,1,Troyes,Nantes
1999/00,Paris SG,Bordeaux,2,1,3,Paris SG,Bordeaux
1999/00,Rennes,Monaco,2,1,3,Rennes,Monaco
1999/00,Auxerre,St Etienne,2,1,3,Auxerre,St Etienne
1999/00,Bordeaux,Lyon,1,3,4,Lyon,Bordeaux
1999/00,Le Havre,Lens,1,1,2,Draw,Draw
1999/00,Marseille,Troyes,1,0,1,Marseille,Troyes
1999/00,Monaco,Metz,2,2,4,Draw,Draw
1999/00,Nancy,Montpellier,1,2,3,Montpellier,Nancy
1999/00,Nantes,Rennes,3,0,3,Nantes,Rennes
1999/00,Sedan,Bastia,2,0,2,Sedan,Bastia
1999/00,Strasbourg,Paris SG,1,1,2,Draw,Draw
1999/00,Bastia,Le Havre,1,1,2,Draw,Draw
1999/00,Bordeaux,Auxerre,1,0,1,Bordeaux,Auxerre
1999/00,Lyon,Strasbourg,0,0,0,Draw,Draw
1999/00,Metz,Nantes,2,1,3,Metz,Nantes
1999/00,Montpellier,Sedan,1,1,2,Draw,Draw
1999/00,Paris SG,Monaco,0,3,3,Monaco,Paris SG
1999/00,Troyes,Nancy,2,0,2,Troyes,Nancy
1999/00,Lens,St Etienne,0,2,2,St Etienne,Lens
1999/00,Rennes,Marseille,1,2,3,Marseille,Rennes
1999/00,Le Havre,Montpellier,2,1,3,Le Havre,Montpellier
1999/00,Marseille,Metz,1,1,2,Draw,Draw
1999/00,Nancy,Rennes,3,0,3,Nancy,Rennes
1999/00,Sedan,Troyes,2,1,3,Sedan,Troyes
1999/00,St Etienne,Bastia,1,1,2,Draw,Draw
1999/00,Strasbourg,Bordeaux,2,2,4,Draw,Draw
1999/00,Auxerre,Lens,3,2,5,Auxerre,Lens
1999/00,Monaco,Lyon,1,0,1,Monaco,Lyon
1999/00,Nantes,Paris SG,0,4,4,Paris SG,Nantes
1999/00,Lyon,Nantes,2,0,2,Lyon,Nantes
1999/00,Paris SG,Marseille,0,2,2,Marseille,Paris SG
1999/00,Bastia,Lens,2,0,2,Bastia,Lens
1999/00,Bordeaux,Monaco,3,2,5,Bordeaux,Monaco
1999/00,Metz,Nancy,2,2,4,Draw,Draw
1999/00,Montpellier,St Etienne,0,1,1,St Etienne,Montpellier
1999/00,Rennes,Sedan,5,0,5,Rennes,Sedan
1999/00,Strasbourg,Auxerre,1,3,4,Auxerre,Strasbourg
1999/00,Troyes,Le Havre,3,1,4,Troyes,Le Havre
1999/00,Marseille,Lyon,0,1,1,Lyon,Marseille
1999/00,Auxerre,Bastia,3,1,4,Auxerre,Bastia
1999/00,Le Havre,Rennes,0,1,1,Rennes,Le Havre
1999/00,Lens,Montpellier,1,0,1,Lens,Montpellier
1999/00,Monaco,Strasbourg,3,0,3,Monaco,Strasbourg
1999/00,Nancy,Paris SG,1,1,2,Draw,Draw
1999/00,Nantes,Bordeaux,0,1,1,Bordeaux,Nantes
1999/00,St Etienne,Troyes,1,0,1,St Etienne,Troyes
1999/00,Sedan,Metz,0,2,2,Metz,Sedan
1999/00,Nantes,Monaco,0,3,3,Monaco,Nantes
1999/00,Sedan,Lyon,2,0,2,Sedan,Lyon
1999/00,Bordeaux,Marseille,2,1,3,Bordeaux,Marseille
1999/00,Rennes,St Etienne,4,1,5,Rennes,St Etienne
1999/00,Lyon,Nancy,2,1,3,Lyon,Nancy
1999/00,Metz,Le Havre,3,0,3,Metz,Le Havre
1999/00,Montpellier,Bastia,1,1,2,Draw,Draw
1999/00,Paris SG,Sedan,3,2,5,Paris SG,Sedan
1999/00,Strasbourg,Nantes,3,2,5,Strasbourg,Nantes
1999/00,Troyes,Lens,0,1,1,Lens,Troyes
1999/00,Auxerre,Montpellier,2,1,3,Auxerre,Montpellier
1999/00,Bastia,Troyes,5,0,5,Bastia,Troyes
1999/00,Le Havre,Paris SG,3,1,4,Le Havre,Paris SG
